categoria, nombre, pistas, conflictos, tiempo(ms)
facil,s01a.txt,33,0,30
facil,s01b.txt,36,0,24
facil,s01c.txt,32,0,51
facil,s02a.txt,30,0,259
facil,s02b.txt,28,0,56
facil,s02c.txt,28,0,64
facil,s03a.txt,28,0,36416
facil,s03b.txt,26,2,447958
facil,s03c.txt,27,0,72
facil,s04a.txt,28,0,165724
facil,s04b.txt,27,0,177
facil,s04c.txt,28,0,81868
facil,s05a.txt,30,2,417209
facil,s05b.txt,28,2,400419
facil,s05c.txt,26,0,65736
facil,s06a.txt,36,0,26
facil,s06b.txt,39,0,18
facil,s06c.txt,36,0,22
facil,s07a.txt,25,0,96468
facil,s07b.txt,25,0,52
facil,s07c.txt,25,0,63
facil,s08a.txt,22,0,675429
facil,s08b.txt,23,0,20874
facil,s08c.txt,22,0,635902
facil,s09a.txt,23,2,949747
facil,s09b.txt,22,2,758160
facil,s09c.txt,22,0,1265416
facil,s10a.txt,31,0,52
facil,s10b.txt,31,0,37
facil,s10c.txt,32,0,46
facil,s11a.txt,28,0,19897
facil,s11b.txt,26,2,379885
facil,s11c.txt,28,0,230016
facil,s12a.txt,22,2,830573
facil,s12b.txt,26,0,27985
facil,s12c.txt,23,2,716180
facil,s13a.txt,32,0,45
facil,s13b.txt,33,0,35
facil,s13c.txt,37,0,38
facil,s14a.txt,29,0,80416
facil,s14b.txt,32,0,67564
facil,s14c.txt,31,0,14421
facil,s15a.txt,27,0,103657
facil,s15b.txt,27,0,82838
facil,s15c.txt,24,0,55551
facil,s16.txt,23,2,1220877
facil,u01.txt,26,0,388647
facil,u02.txt,21,2,1412580
